TOTAL	consts	13905
TOTAL	const_rej	7007
TOTAL	thms	150439
TOTAL	thm_rej	62880
CONST	hidden	HOL.Zorn	1
CONST	concealed	HOL.GCD	4
CONST	concealed	HOL.Nat	1
CONST	concealed	HOL.Num	18
CONST	adt_record	HOL.Num	1
CONST	class_pred	HOL.GCD	6
CONST	class_pred	HOL.HOL	2
CONST	class_pred	HOL.Nat	3
CONST	class_pred	HOL.Num	3
CONST	concealed	HOL.Enum	94
CONST	concealed	HOL.List	39
CONST	inst_infix	HOL.GCD	10
CONST	inst_infix	HOL.HOL	3
CONST	inst_infix	HOL.Int	16
CONST	inst_infix	HOL.Nat	16
CONST	inst_infix	HOL.Num	13
CONST	inst_infix	HOL.Rat	23
CONST	inst_infix	HOL.Set	9
CONST	adt_record	HOL.List	2
CONST	class_infix	HOL.GCD	6
CONST	class_infix	HOL.HOL	1
CONST	class_infix	HOL.Nat	3
CONST	class_infix	HOL.Num	3
CONST	class_pred	HOL.Enum	3
CONST	class_pred	HOL.List	3
CONST	inst_infix	HOL.Enum	158
CONST	inst_infix	HOL.List	12
CONST	inst_infix	HOL.Real	25
CONST	abs_rep_name	HOL.Int	2
CONST	abs_rep_name	HOL.Nat	2
CONST	abs_rep_name	HOL.Rat	2
CONST	class_infix	HOL.Enum	4
CONST	class_infix	HOL.List	4
CONST	class_pred	HOL.Power	1
CONST	class_pred	HOL.Rings	65
CONST	concealed	HOL.Option	19
CONST	concealed	HOL.Random	4
CONST	concealed	HOL.Record	20
CONST	concealed	HOL.String	19
CONST	adt_record	HOL.Option	2
CONST	adt_record	HOL.Record	1
CONST	adt_record	HOL.String	1
CONST	class_infix	HOL.Rings	84
CONST	class_pred	HOL.Fields	6
CONST	class_pred	HOL.Groups	37
CONST	class_pred	HOL.Limits	8
CONST	class_pred	HOL.Parity	4
CONST	class_variant	HOL.Fun	7
CONST	class_variant	HOL.GCD	5
CONST	class_variant	HOL.Int	2
CONST	class_variant	HOL.Nat	3
CONST	class_variant	HOL.Num	8
CONST	class_variant	HOL.Rat	2
CONST	concealed	HOL.Complex	22
CONST	concealed	HOL.Nitpick	55
CONST	concealed	HOL.Typerep	17
CONST	inst_infix	HOL.Filter	12
CONST	inst_infix	HOL.Option	9
CONST	inst_infix	HOL.Parity	4
CONST	inst_infix	HOL.Record	9
CONST	inst_infix	HOL.String	21
CONST	adt_record	HOL.Typerep	1
CONST	class_infix	HOL.Fields	7
CONST	class_infix	HOL.Groups	45
CONST	class_infix	HOL.Limits	11
CONST	class_infix	HOL.Parity	7
CONST	class_pred	HOL.Typerep	1
CONST	class_variant	HOL.List	14
CONST	concealed	HOL.Sum_Type	2
CONST	inst_infix	HOL.Complex	22
CONST	inst_infix	HOL.Nitpick	6
CONST	inst_infix	HOL.Typerep	6
CONST	abs_rep_name	HOL.Filter	2
CONST	abs_rep_name	HOL.String	1
CONST	adt_record	HOL.Sum_Type	1
CONST	class_pred	HOL.Lattices	11
CONST	class_variant	HOL.Power	2
CONST	class_variant	HOL.Rings	4
CONST	concealed	HOL.Predicate	38
CONST	hidden	HOL-Library.Word	2
CONST	hidden	HOL.Product_Type	1
CONST	inst_infix	HOL.Sum_Type	7
CONST	internal_prefix	HOL.ATP	11
CONST	internal_prefix	HOL.HOL	3
CONST	abs_rep_name	HOL.Nitpick	2
CONST	class_infix	HOL.Lattices	12
CONST	class_pred	HOL.Orderings	15
CONST	class_variant	HOL.Fields	1
CONST	class_variant	HOL.Parity	3
CONST	class_variant	HOL.String	2
CONST	concealed	HOL.Extraction	17
CONST	concealed	Matrix.Utility	4
CONST	hidden	HOL-Library.Uprod	1
CONST	inst_infix	HOL.Orderings	4
CONST	inst_infix	HOL.Predicate	21
CONST	quotient_typedef	HOL.Int	4
CONST	quotient_typedef	HOL.Rat	4
CONST	abs_rep_name	HOL.Sum_Type	2
CONST	class_infix	HOL.Orderings	20
CONST	class_pred	HOL.Finite_Set	1
CONST	class_variant	HOL.Typerep	1
CONST	concealed	HOL.Random_Pred	2
CONST	inst_infix	HOL-Library.Z2	25
CONST	inst_infix	HOL.Extraction	5
CONST	quotient_typedef	HOL.Real	4
CONST	class_infix	HOL.Finite_Set	1
CONST	concealed	HOL-Library.FSet	6
CONST	concealed	HOL-Library.Tree	52
CONST	concealed	HOL-Library.Word	1
CONST	concealed	HOL.Code_Numeral	1
CONST	concealed	HOL.Product_Type	5
CONST	concealed	HOL.Set_Interval	2
CONST	hidden	HOL.Code_Evaluation	1
CONST	abs_rep_name	HOL-Library.Z2	2
CONST	adt_record	HOL-Algebra.Ring	1
CONST	adt_record	HOL-Library.Tree	2
CONST	adt_record	HOL.Code_Numeral	1
CONST	class_pred	HOL-Library.Tree	1
CONST	class_variant	HOL.Factorial	2
CONST	class_variant	HOL.Inductive	2
CONST	class_variant	HOL.Orderings	6
CONST	concealed	HOL-Library.AList	10
CONST	concealed	HOL-Library.Dlist	6
CONST	concealed	HOL-Library.Float	4
CONST	concealed	HOL-Library.Uprod	1
CONST	concealed	HOL.Lazy_Sequence	23
CONST	inst_infix	HOL-Algebra.Ring	6
CONST	inst_infix	HOL-Library.FSet	17
CONST	inst_infix	HOL-Library.Tree	11
CONST	inst_infix	HOL-Library.Word	34
CONST	inst_infix	HOL.Code_Numeral	59
CONST	inst_infix	HOL.Product_Type	27
CONST	internal_prefix	HOL.BNF_Def	12
CONST	internal_prefix	HOL.Lifting	5
CONST	adt_record	HOL-Algebra.Group	1
CONST	adt_record	HOL-Algebra.Order	1
CONST	adt_record	HOL-Library.Dlist	1
CONST	class_pred	HOL.Lazy_Sequence	1
